metric_name,dimension,label
avg_success_score,is_truly_lost,Truly Lost?
avg_success_score,is_voluntary,Voluntary Attributed?
avg_success_score,mdm_payor_brand,MDM Payor Brand
avg_success_score,mdm_payor_category,MDM Payor Category
avg_success_score,off_cadence_active,Off Cadence?
avg_success_score,operational_segment,Operational Segment
avg_success_score,population_segment,Population Segment
avg_success_score,preferred_clinic,Clinic
avg_success_score,primary_attributed_payor,Primary Attributed Payor
avg_suggestions_per_visit,department,Department
avg_suggestions_per_visit,insurance_group,Insurance Group
avg_suggestions_per_visit,is_reviewed_by_provider,Reviewed?
avg_suggestions_per_visit,is_scrubbed,Scrubbed?
avg_suggestions_per_visit,provider_name,Provider
avg_tenure_months,attributed_payor,Attributed Payor
avg_tenure_months,insurance_change_reason,Insurance Change Reason
avg_tenure_months,is_current_attribution,Current?
avg_tenure_months,movement_event,Movement Event
avg_tenure_months,preferred_clinic,Clinic
avg_tenure_months,year_month,Year-Month
awv_actionable_count,attribution_status,Attribution Status
awv_actionable_count,clinic,Clinic
awv_actionable_count,is_active_patient,Active Patient?
awv_actionable_count,membership_enrollment,Membership Enrollment
awv_actionable_count,primary_payor,Primary Payor
awv_actionable_count,risk_tier,Risk Tier
awv_completed,is_currently_on_roster,On Roster?
awv_completed,is_truly_lost,Truly Lost?
awv_completed,is_voluntary,Voluntary Attributed?
awv_completed,mdm_payor_brand,MDM Payor Brand
awv_completed,mdm_payor_category,MDM Payor Category
awv_completed,off_cadence_active,Off Cadence?
awv_completed,operational_segment,Operational Segment
awv_completed,population_segment,Population Segment
awv_completed,preferred_clinic,Clinic
awv_completed,primary_attributed_payor,Primary Attributed Payor
awv_completed_count,attribution_status,Attribution Status
awv_completed_count,clinic,Clinic
awv_completed_count,is_active_patient,Active Patient?
awv_completed_count,membership_enrollment,Membership Enrollment
awv_completed_count,primary_payor,Primary Payor
awv_completed_count,risk_tier,Risk Tier
awv_completion_rate_analytics,analytics_awv_ytd_status,AWV YTD Status
awv_completion_rate_analytics,attributed_payor,Attributed Payor
awv_completion_rate_analytics,attribution_status,Attribution Status
awv_completion_rate_analytics,awv_eligibility_source,AWV Eligibility Source
awv_completion_rate_analytics,clinic,Clinic
awv_completion_rate_analytics,is_active_patient,Active Patient?
awv_completion_rate_analytics,is_analytics_awv_eligible,AWV Eligible?
